Dataset,Classifier,Metric,Standard,G-SMOTE,Proposed
JV,LR,G-mean,0.846 $\pm$ 0.011,0.863 $\pm$ 0.007,\textbf{0.870 $\pm$ 0.008}
JV,RF,Accuracy,\textbf{0.845 $\pm$ 0.008},\textbf{0.845 $\pm$ 0.007},0.844 $\pm$ 0.007
JV,RF,F-score,\textbf{0.833 $\pm$ 0.01},\textbf{0.833 $\pm$ 0.008},0.832 $\pm$ 0.009
JV,RF,G-mean,0.902 $\pm$ 0.006,\textbf{0.903 $\pm$ 0.004},\textbf{0.903 $\pm$ 0.005}
MZ,DT,Accuracy,0.573 $\pm$ 0.005,0.575 $\pm$ 0.005,\textbf{0.583 $\pm$ 0.007}
MZ,DT,F-score,0.572 $\pm$ 0.009,0.574 $\pm$ 0.007,\textbf{0.582 $\pm$ 0.008}
MZ,DT,G-mean,0.737 $\pm$ 0.003,0.737 $\pm$ 0.005,\textbf{0.743 $\pm$ 0.005}
MZ,KNN,Accuracy,0.751 $\pm$ 0.009,\textbf{0.756 $\pm$ 0.004},\textbf{0.756 $\pm$ 0.005}
MZ,KNN,F-score,0.743 $\pm$ 0.01,0.754 $\pm$ 0.003,\textbf{0.755 $\pm$ 0.004}
MZ,KNN,G-mean,0.852 $\pm$ 0.005,\textbf{0.857 $\pm$ 0.002},\textbf{0.857 $\pm$ 0.003}
MZ,LR,Accuracy,0.750 $\pm$ 0.006,0.761 $\pm$ 0.006,\textbf{0.764 $\pm$ 0.006}
MZ,LR,F-score,0.741 $\pm$ 0.007,0.752 $\pm$ 0.006,\textbf{0.756 $\pm$ 0.006}
MZ,LR,G-mean,0.852 $\pm$ 0.004,0.860 $\pm$ 0.004,\textbf{0.862 $\pm$ 0.004}
MZ,RF,Accuracy,0.737 $\pm$ 0.008,0.743 $\pm$ 0.006,\textbf{0.744 $\pm$ 0.008}
MZ,RF,F-score,0.730 $\pm$ 0.008,0.736 $\pm$ 0.008,\textbf{0.737 $\pm$ 0.009}
MZ,RF,G-mean,0.844 $\pm$ 0.005,\textbf{0.849 $\pm$ 0.004},\textbf{0.849 $\pm$ 0.005}
MP,DT,Accuracy,0.623 $\pm$ 0.012,0.623 $\pm$ 0.01,\textbf{0.626 $\pm$ 0.007}
MP,DT,F-score,0.614 $\pm$ 0.012,0.617 $\pm$ 0.011,\textbf{0.620 $\pm$ 0.007}
MP,DT,G-mean,0.761 $\pm$ 0.008,0.762 $\pm$ 0.007,\textbf{0.764 $\pm$ 0.005}
MP,KNN,Accuracy,0.703 $\pm$ 0.016,0.735 $\pm$ 0.011,\textbf{0.754 $\pm$ 0.021}
MP,KNN,F-score,0.685 $\pm$ 0.017,0.729 $\pm$ 0.012,\textbf{0.748 $\pm$ 0.021}
MP,KNN,G-mean,0.808 $\pm$ 0.01,0.833 $\pm$ 0.007,\textbf{0.846 $\pm$ 0.013}
MP,LR,Accuracy,0.786 $\pm$ 0.01,0.803 $\pm$ 0.011,\textbf{0.814 $\pm$ 0.012}
MP,LR,F-score,0.771 $\pm$ 0.01,0.799 $\pm$ 0.011,\textbf{0.809 $\pm$ 0.012}
MP,LR,G-mean,0.866 $\pm$ 0.005,0.881 $\pm$ 0.008,\textbf{0.887 $\pm$ 0.008}
MP,RF,Accuracy,0.834 $\pm$ 0.01,\textbf{0.846 $\pm$ 0.006},\textbf{0.846 $\pm$ 0.008}
MP,RF,F-score,0.826 $\pm$ 0.011,\textbf{0.842 $\pm$ 0.007},0.841 $\pm$ 0.008
MP,RF,G-mean,0.895 $\pm$ 0.007,\textbf{0.904 $\pm$ 0.004},\textbf{0.904 $\pm$ 0.005}
Pendigits,DT,Accuracy,0.760 $\pm$ 0.014,0.772 $\pm$ 0.004,\textbf{0.783 $\pm$ 0.005}
Pendigits,DT,F-score,0.756 $\pm$ 0.004,0.769 $\pm$ 0.004,\textbf{0.780 $\pm$ 0.005}
Pendigits,DT,G-mean,0.857 $\pm$ 0.009,0.865 $\pm$ 0.002,\textbf{0.871 $\pm$ 0.003}
Pendigits,KNN,Accuracy,0.886 $\pm$ 0.006,0.899 $\pm$ 0.008,\textbf{0.903 $\pm$ 0.01}
Pendigits,KNN,F-score,0.878 $\pm$ 0.008,0.894 $\pm$ 0.009,\textbf{0.899 $\pm$ 0.011}
Pendigits,KNN,G-mean,0.931 $\pm$ 0.004,0.941 $\pm$ 0.005,\textbf{0.944 $\pm$ 0.006}
Pendigits,LR,Accuracy,0.835 $\pm$ 0.011,0.825 $\pm$ 0.008,\textbf{0.836 $\pm$ 0.011}
Pendigits,LR,F-score,\textbf{0.829 $\pm$ 0.013},0.816 $\pm$ 0.01,0.828 $\pm$ 0.012
Pendigits,LR,G-mean,0.903 $\pm$ 0.007,0.898 $\pm$ 0.005,\textbf{0.905 $\pm$ 0.007}
Pendigits,RF,Accuracy,0.922 $\pm$ 0.006,\textbf{0.926 $\pm$ 0.005},\textbf{0.926 $\pm$ 0.005}
Pendigits,RF,F-score,0.919 $\pm$ 0.007,0.923 $\pm$ 0.006,\textbf{0.924 $\pm$ 0.006}
Pendigits,RF,G-mean,0.955 $\pm$ 0.004,\textbf{0.957 $\pm$ 0.003},\textbf{0.957 $\pm$ 0.003}
Texture,DT,Accuracy,0.760 $\pm$ 0.004,0.770 $\pm$ 0.006,\textbf{0.778 $\pm$ 0.007}
Texture,DT,F-score,0.758 $\pm$ 0.004,0.767 $\pm$ 0.007,\textbf{0.776 $\pm$ 0.008}
Texture,DT,G-mean,0.859 $\pm$ 0.002,0.865 $\pm$ 0.004,\textbf{0.871 $\pm$ 0.005}
Texture,KNN,Accuracy,0.876 $\pm$ 0.008,0.892 $\pm$ 0.007,\textbf{0.897 $\pm$ 0.009}
Texture,KNN,F-score,0.869 $\pm$ 0.009,0.888 $\pm$ 0.009,\textbf{0.894 $\pm$ 0.01}
Texture,KNN,G-mean,0.926 $\pm$ 0.005,0.937 $\pm$ 0.004,\textbf{0.941 $\pm$ 0.005}
Texture,LR,Accuracy,0.867 $\pm$ 0.012,0.922 $\pm$ 0.008,\textbf{0.932 $\pm$ 0.008}
Texture,LR,F-score,0.855 $\pm$ 0.015,0.919 $\pm$ 0.008,\textbf{0.930 $\pm$ 0.008}
Texture,LR,G-mean,0.918 $\pm$ 0.007,0.955 $\pm$ 0.005,\textbf{0.961 $\pm$ 0.004}
Texture,RF,Accuracy,0.894 $\pm$ 0.009,0.898 $\pm$ 0.008,\textbf{0.902 $\pm$ 0.009}
Texture,RF,F-score,0.892 $\pm$ 0.01,0.895 $\pm$ 0.008,\textbf{0.899 $\pm$ 0.009}
Texture,RF,G-mean,0.939 $\pm$ 0.006,0.942 $\pm$ 0.005,\textbf{0.944 $\pm$ 0.005}
Usps,DT,Accuracy,0.696 $\pm$ 0.01,0.707 $\pm$ 0.011,\textbf{0.713 $\pm$ 0.013}
Usps,DT,F-score,0.664 $\pm$ 0.011,0.682 $\pm$ 0.011,\textbf{0.686 $\pm$ 0.01}
Usps,DT,G-mean,0.800 $\pm$ 0.008,0.811 $\pm$ 0.008,\textbf{0.815 $\pm$ 0.009}
Usps,KNN,Accuracy,0.855 $\pm$ 0.01,0.866 $\pm$ 0.008,\textbf{0.867 $\pm$ 0.009}
Usps,KNN,F-score,0.833 $\pm$ 0.012,0.849 $\pm$ 0.01,\textbf{0.850 $\pm$ 0.01}
Usps,KNN,G-mean,0.903 $\pm$ 0.007,0.912 $\pm$ 0.006,\textbf{0.914 $\pm$ 0.006}
Usps,LR,Accuracy,0.899 $\pm$ 0.01,\textbf{0.900 $\pm$ 0.011},0.899 $\pm$ 0.012
Usps,LR,F-score,\textbf{0.886 $\pm$ 0.011},\textbf{0.886 $\pm$ 0.013},0.885 $\pm$ 0.013
Usps,LR,G-mean,\textbf{0.936 $\pm$ 0.006},\textbf{0.936 $\pm$ 0.008},0.935 $\pm$ 0.008
Usps,RF,Accuracy,0.882 $\pm$ 0.009,0.892 $\pm$ 0.01,\textbf{0.893 $\pm$ 0.01}
Usps,RF,F-score,0.866 $\pm$ 0.01,0.878 $\pm$ 0.01,\textbf{0.880 $\pm$ 0.01}
